,Signal Int (out),Signal Int (input),Fat Fraction,Percentage,Type
Segment_8out,80.5152,176.476,0.271880596,27.18805957,Grasa
Segment_1out,225.844,222.757,0.006929075,0.692907518,Normal
Segment_2out,212.541,212.236,0.00071854,0.071853974,Normal
Segment_3out,129.846,130.124,0.001068212,0.106821186,Normal
Segment_4out,141.823,141.444,0.001339753,0.133975284,Normal
Segment_5out,238.488,235.945,0.005388968,0.538896777,Normal
Segment_6out,249.381,245.663,0.007567277,0.756727712,Normal
Segment_7out,238.222,235.837,0.005056458,0.505645849,Normal
Segment_8out,221.248,223.259,0.004503738,0.450373781,Normal
Segment_1out,540.413,687.472,0.106956356,10.6956356,Grasa
Segment_2out,540.19,715.776,0.122654294,12.26542941,Grasa
Segment_3out,552.871,731.703,0.122202588,12.22025877,Grasa
Segment_4out,564.853,643.262,0.060946395,6.094639509,Grasa
Segment_5out,510.976,661.103,0.113542822,11.35428216,Grasa
Segment_6out,514.141,627.964,0.090628603,9.062860291,Grasa
Segment_7out,425.921,673.931,0.184002517,18.40025166,Grasa
Segment_8out,510.28,617.788,0.087010431,8.701043076,Grasa
Segment_1out,118.559,132.428,0.052364304,5.236430362,Grasa
Segment_2out,166.094,130.605,0.135863864,13.58638643,Grasa
Segment_3out,145.926,118.567,0.115373586,11.53735862,Grasa
Segment_4out,156.276,122.671,0.136972063,13.69720635,Grasa
Segment_5out,154.011,139.137,0.053450915,5.345091528,Grasa
Segment_6out,141.037,123.072,0.072985732,7.298573193,Grasa
Segment_7out,180.756,133.918,0.17487567,17.48756702,Grasa
Segment_8out,181.005,143.449,0.130903666,13.09036661,Grasa
Segment_1out,149.426,164.767,0.046553618,4.655361814,Normal
Segment_2out,157.339,158.955,0.0050832,0.508319965,Normal
Segment_3out,145.373,156.408,0.035276329,3.527632858,Normal
Segment_4out,135.419,147.689,0.041539993,4.153999282,Normal
Segment_5out,155.434,171.191,0.046021695,4.602169507,Normal
Segment_6out,146.051,155.199,0.029471839,2.947183938,Normal
Segment_7out,172.945,188.258,0.04067025,4.06702504,Normal
Segment_8out,174.548,189.212,0.038750185,3.875018498,Normal
Segment_1out,268.302,260.036,0.015893953,1.589395314,Normal
Segment_2out,218.11,216.586,0.003518233,0.351823294,Normal
Segment_3out,231.815,225.371,0.014296427,1.429642678,Normal
Segment_4out,219.849,214.186,0.013219818,1.321981829,Normal
Segment_5out,213.106,206.677,0.015553255,1.55532546,Normal
Segment_6out,232.718,226.115,0.014600977,1.460097738,Normal
Segment_7out,228.556,221.888,0.015025599,1.50255985,Normal
Segment_8out,233.576,226.765,0.01501775,1.501774965,Normal
